2022-08-07 00:06:51,471 - INFO - Loading Data...
2022-08-07 00:06:55,120 - INFO - Init nn...
2022-08-07 00:06:58,859 - INFO - Training...
2022-08-07 00:07:14,458 - INFO - [1,  1265] loss: 0.175
2022-08-07 00:07:14,503 - INFO - [1,  1269] loss: 0.175
2022-08-07 00:07:14,547 - INFO - [1,  1273] loss: 0.174
2022-08-07 00:07:14,592 - INFO - [1,  1277] loss: 0.174
2022-08-07 00:07:14,637 - INFO - [1,  1281] loss: 0.174
2022-08-07 00:07:14,682 - INFO - [1,  1285] loss: 0.174
2022-08-07 00:07:14,726 - INFO - [1,  1289] loss: 0.174
2022-08-07 00:07:14,770 - INFO - [1,  1293] loss: 0.174
2022-08-07 00:07:14,816 - INFO - [1,  1297] loss: 0.174
2022-08-07 00:07:14,862 - INFO - [1,  1301] loss: 0.174
2022-08-07 00:07:14,908 - INFO - [1,  1305] loss: 0.173
2022-08-07 00:07:14,955 - INFO - [1,  1309] loss: 0.173
2022-08-07 00:07:15,000 - INFO - [1,  1313] loss: 0.173
2022-08-07 00:07:15,049 - INFO - [1,  1317] loss: 0.173
2022-08-07 00:07:15,094 - INFO - [1,  1321] loss: 0.173
2022-08-07 00:07:15,139 - INFO - [1,  1325] loss: 0.173
2022-08-07 00:07:15,185 - INFO - [1,  1329] loss: 0.172
2022-08-07 00:07:15,232 - INFO - [1,  1333] loss: 0.172
2022-08-07 00:07:15,277 - INFO - [1,  1337] loss: 0.172
2022-08-07 00:07:15,322 - INFO - [1,  1341] loss: 0.172
2022-08-07 00:07:15,367 - INFO - [1,  1345] loss: 0.172
2022-08-07 00:07:15,412 - INFO - [1,  1349] loss: 0.172
2022-08-07 00:07:15,457 - INFO - [1,  1353] loss: 0.172
2022-08-07 00:07:15,502 - INFO - [1,  1357] loss: 0.171
2022-08-07 00:07:15,546 - INFO - [1,  1361] loss: 0.171
2022-08-07 00:07:15,590 - INFO - [1,  1365] loss: 0.171
2022-08-07 00:07:15,635 - INFO - [1,  1369] loss: 0.171
2022-08-07 00:07:15,679 - INFO - [1,  1373] loss: 0.171
2022-08-07 00:07:15,724 - INFO - [1,  1377] loss: 0.171
2022-08-07 00:07:15,768 - INFO - [1,  1381] loss: 0.171
2022-08-07 00:07:15,813 - INFO - [1,  1385] loss: 0.171
2022-08-07 00:07:15,859 - INFO - [1,  1389] loss: 0.170
2022-08-07 00:07:15,909 - INFO - [1,  1393] loss: 0.170
2022-08-07 00:07:15,957 - INFO - [1,  1397] loss: 0.170
2022-08-07 00:07:16,003 - INFO - [1,  1401] loss: 0.170
2022-08-07 00:07:16,048 - INFO - [1,  1405] loss: 0.170
2022-08-07 00:07:16,094 - INFO - [1,  1409] loss: 0.170
2022-08-07 00:07:16,140 - INFO - [1,  1413] loss: 0.170
2022-08-07 00:07:16,189 - INFO - [1,  1417] loss: 0.170
2022-08-07 00:07:16,237 - INFO - [1,  1421] loss: 0.170
2022-08-07 00:07:16,281 - INFO - [1,  1425] loss: 0.169
2022-08-07 00:07:16,327 - INFO - [1,  1429] loss: 0.169
2022-08-07 00:07:16,377 - INFO - [1,  1433] loss: 0.169
2022-08-07 00:07:16,424 - INFO - [1,  1437] loss: 0.169
2022-08-07 00:07:16,469 - INFO - [1,  1441] loss: 0.169
2022-08-07 00:07:16,515 - INFO - [1,  1445] loss: 0.169
2022-08-07 00:07:16,561 - INFO - [1,  1449] loss: 0.169
2022-08-07 00:07:16,606 - INFO - [1,  1453] loss: 0.169
2022-08-07 00:07:16,651 - INFO - [1,  1457] loss: 0.169
2022-08-07 00:07:16,695 - INFO - [1,  1461] loss: 0.169
2022-08-07 00:07:16,740 - INFO - [1,  1465] loss: 0.169
2022-08-07 00:07:16,785 - INFO - [1,  1469] loss: 0.168
2022-08-07 00:07:16,829 - INFO - [1,  1473] loss: 0.168
2022-08-07 00:07:16,874 - INFO - [1,  1477] loss: 0.168
2022-08-07 00:07:16,919 - INFO - [1,  1481] loss: 0.168
2022-08-07 00:07:16,964 - INFO - [1,  1485] loss: 0.168
2022-08-07 00:07:17,011 - INFO - [1,  1489] loss: 0.168
2022-08-07 00:07:17,057 - INFO - [1,  1493] loss: 0.168
2022-08-07 00:07:17,102 - INFO - [1,  1497] loss: 0.168
2022-08-07 00:07:17,146 - INFO - [1,  1501] loss: 0.168
2022-08-07 00:07:17,190 - INFO - [1,  1505] loss: 0.168
2022-08-07 00:07:17,236 - INFO - [1,  1509] loss: 0.168
2022-08-07 00:07:17,281 - INFO - [1,  1513] loss: 0.167
2022-08-07 00:07:17,325 - INFO - [1,  1517] loss: 0.167
2022-08-07 00:07:17,369 - INFO - [1,  1521] loss: 0.167
2022-08-07 00:07:17,414 - INFO - [1,  1525] loss: 0.167
2022-08-07 00:07:17,458 - INFO - [1,  1529] loss: 0.167
2022-08-07 00:07:17,503 - INFO - [1,  1533] loss: 0.167
2022-08-07 00:07:17,547 - INFO - [1,  1537] loss: 0.167
2022-08-07 00:07:17,596 - INFO - [1,  1541] loss: 0.166
2022-08-07 00:07:17,643 - INFO - [1,  1545] loss: 0.166
2022-08-07 00:07:17,689 - INFO - [1,  1549] loss: 0.166
2022-08-07 00:07:17,733 - INFO - [1,  1553] loss: 0.166
2022-08-07 00:07:17,778 - INFO - [1,  1557] loss: 0.166
2022-08-07 00:07:17,823 - INFO - [1,  1561] loss: 0.166
2022-08-07 00:07:17,874 - INFO - [1,  1565] loss: 0.166
2022-08-07 00:07:17,919 - INFO - [1,  1569] loss: 0.166
2022-08-07 00:07:17,964 - INFO - [1,  1573] loss: 0.166
2022-08-07 00:07:18,009 - INFO - [1,  1577] loss: 0.166
2022-08-07 00:07:18,055 - INFO - [1,  1581] loss: 0.166
2022-08-07 00:07:18,100 - INFO - [1,  1585] loss: 0.165
2022-08-07 00:07:18,144 - INFO - [1,  1589] loss: 0.165
2022-08-07 00:07:18,189 - INFO - [1,  1593] loss: 0.165
